mESCs_lnc:1110038B12Rik_hsa	Snhg12
mESCs_lnc:1110038B12Rik_hsa	Snhg12
mESCs_lnc:1110038B12Rik_hsa	Snhg12
mESCs_lnc:1110038B12Rik_hsa	Snhg12
mESCs_lnc:1110038B12Rik_hsa	Snhg12
mESCs_lnc:1110038B12Rik_hsa	Snhg12
mESCs_lnc:1110038B12Rik_hsa	Snhg12
mESCs_lnc:1110038B12Rik_hsa	Gm15564
mESCs_lnc:1110038B12Rik_hsa	Gm15564
mESCs_lnc:1110038B12Rik_hsa	Gm15564
mESCs_lnc:1110038B12Rik_hsa	Gm15564
mESCs_lnc:1110038B12Rik_hsa	Gm15564
mESCs_lnc:1110038B12Rik_hsa	Gm15564
mESCs_lnc:1110038B12Rik_hsa	Gm15564
mESCs_lnc:1110038B12Rik_hsa	Gm15564
mESCs_lnc:1110038B12Rik_hsa	Gm15564
mESCs_lnc:1110038B12Rik_hsa	Gm15564
mESCs_lnc:1110038B12Rik_hsa	Gm15564
mESCs_lnc:1110038B12Rik_hsa	Gm15564
mESCs_lnc:1110038B12Rik_hsa	Gm15564
mESCs_lnc:1110038B12Rik_hsa	Gm15564
mESCs_lnc:1110038B12Rik_hsa	Gm15564
mESCs_lnc:1110038B12Rik_hsa	Gm15564
mESCs_lnc:1110038B12Rik_hsa	Gm15564
mESCs_lnc:1110038B12Rik_hsa	Gm15564
mESCs_lnc:1110038B12Rik_hsa	Gm15564
mESCs_lnc:1110038B12Rik_hsa	Gm15564
mESCs_lnc:1110038B12Rik_hsa	Gm15564
mESCs_lnc:1110038B12Rik_hsa	Gm15564
EFs_lnc:1110038B12Rik_hsa	Snora81
EFs_lnc:1110038B12Rik_hsa	Snora81
mESCs_lnc:1110038B12Rik_hsa	Snora81
mESCs_lnc:1110038B12Rik_hsa	Snora81
mESCs_lnc:1110038B12Rik_hsa	Snora81
mESCs_lnc:1110038B12Rik_hsa	Snora81
mESCs_lnc:1110038B12Rik_hsa	Snora81
mESCs_lnc:1110038B12Rik_hsa	Snora81
mESCs_lnc:1110038B12Rik_hsa	Snora81
mESCs_lnc:1110038B12Rik_hsa	Snora81
mESCs_lnc:1110038B12Rik_hsa	Snora81
mESCs_lnc:1110038B12Rik_hsa	Snora81
mESCs_lnc:1110038B12Rik_hsa	Snora81
mESCs_lnc:1110038B12Rik_hsa	Snora81
mESCs_lnc:1110038B12Rik_hsa	Snora81
mESCs_lnc:1110038B12Rik_hsa	Snora81
mESCs_lnc:1110038B12Rik_hsa	Snora81
mESCs_lnc:1110038B12Rik_hsa	Snora81
mESCs_lnc:1110038B12Rik_hsa	Snora81
mESCs_lnc:1110038B12Rik_hsa	Snora81
mESCs_lnc:1110038B12Rik_hsa	Snora81
mESCs_lnc:1110038B12Rik_hsa	Gm24245
EFs_lnc:1110038B12Rik_hsa	Gm24245
mESCs_lnc:1110038B12Rik_hsa	Gm24245
mESCs_lnc:1110038B12Rik_hsa	Gm24245
mESCs_lnc:1110038B12Rik_hsa	Gm24245
mESCs_lnc:1110038B12Rik_hsa	Snord13
mESCs_lnc:1110038B12Rik_hsa	Snord13
mESCs_lnc:1110038B12Rik_hsa	Snord13
mESCs_lnc:1110038B12Rik_hsa	Gm24187
mESCs_lnc:1110038B12Rik_hsa	Scarna17
mESCs_lnc:1110038B12Rik_hsa	Scarna13
mESCs_lnc:1110038B12Rik_hsa	Scarna13
mESCs_lnc:1110038B12Rik_hsa	Gm22519
mESCs_lnc:1110038B12Rik_hsa	Gm22519
mESCs_lnc:1110038B12Rik_hsa	Gm22519
mESCs_lnc:1110038B12Rik_hsa	Gm23119
mESCs_lnc:1110038B12Rik_hsa	Snora78
mESCs_lnc:1110038B12Rik_hsa	Gm22009
mESCs_lnc:1110038B12Rik_hsa	Mcm3ap
mESCs_lnc:1110038B12Rik_hsa	Cnn2
mESCs_lnc:1110038B12Rik_hsa	Vars
EFs_lnc:1110038B12Rik_hsa	Rpl10
EFs_lnc:1110038B12Rik_hsa	Rpl10
mESCs_lnc:1110038B12Rik_hsa	Rpl10
mESCs_lnc:1110038B12Rik_hsa	Hspa8
mESCs_lnc:1110038B12Rik_hsa	Hspa8
mESCs_lnc:1110038B12Rik_hsa	Hspa8
mESCs_lnc:1110038B12Rik_hsa	Cand1
mESCs_lnc:1110038B12Rik_hsa	Nampt
mESCs_lnc:1110038B12Rik_hsa	Aco2
mESCs_lnc:1110038B12Rik_hsa	Tra2b
mESCs_lnc:1110038B12Rik_hsa	Kansl2
mESCs_lnc:1110038B12Rik_hsa	Lima1
mESCs_lnc:1110038B12Rik_hsa	Hspa9
mESCs_lnc:1110038B12Rik_hsa	Ddb1
mESCs_lnc:1110038B12Rik_hsa	Huwe1
mESCs_lnc:1110038B12Rik_hsa	Faap100
mESCs_lnc:1110038B12Rik_hsa	Jade1
EFs_lnc:1110038B12Rik_hsa	Fn1
mESCs_lnc:1110038B12Rik_hsa	Nckap1
mESCs_lnc:1110038B12Rik_hsa	Tmem38b
mESCs_lnc:1110038B12Rik_hsa	Rest
mESCs_lnc:1110038B12Rik_hsa	Rest
mESCs_lnc:1110038B12Rik_hsa	Rest
mESCs_lnc:1110038B12Rik_hsa	Rest
mESCs_lnc:1110038B12Rik_hsa	Rest
mESCs_lnc:1110038B12Rik_hsa	Rest
mESCs_lnc:1110038B12Rik_hsa	Rest
mESCs_lnc:1110038B12Rik_hsa	Rest
mESCs_lnc:1110038B12Rik_hsa	Rest
mESCs_lnc:1110038B12Rik_hsa	Rest
mESCs_lnc:1110038B12Rik_hsa	Rest
mESCs_lnc:1110038B12Rik_hsa	Rest
mESCs_lnc:1110038B12Rik_hsa	Rest
mESCs_lnc:1110038B12Rik_hsa	Rest
mESCs_lnc:1110038B12Rik_hsa	Rest
mESCs_lnc:1110038B12Rik_hsa	Rest
mESCs_lnc:1110038B12Rik_hsa	Rest
mESCs_lnc:1110038B12Rik_hsa	Rest
mESCs_lnc:1110038B12Rik_hsa	Rest
mESCs_lnc:1110038B12Rik_hsa	Rest
