kinase	target
ABL1	NCK1
ABL1	ROBO1
ABL1	SPTLC1
ABL1	STX17
ABL1	RAD52
ABL1	CRKL
ABL1	PIK3AP1
ABL1	CDC73
ABL1	WWTR1
ABL1	CD19
ABL1	GNB2L1
ABL1	PLEKHG2
ABL1	PLSCR1
ABL1	SORBS1
ABL1	VAV1
ABL1	RAPGEF1
ABL1	GRB2
ABL1	CAV1
ABL1	DOK1
ABL1	SRCIN1
ABL1	PTPN11
ABL1	CDK5
ABL1	TBX21
ABL1	NFAT5
ABL1	PARK2
ABL1	PDK1
ABL1	DDX5
ABL1	RAD9A
ABL1	CDKN1B
ABL1	MYOD1
ABL1	ABI1
ABL1	APBB1
ABL1	RAPH1
ABL1	ESR2
ABL1	JAK2
ABL1	WASF2
ABL1	CEBPB
ABL1	MYLK
ABL1	ESR1
ABL1	CTTN
ABL1	EGFR
ABL1	CASP9
ABL1	JUN
ABL1	MYC
ABL1	APP
ABL1	CTNNB1
ABL1	NUMA1
ABL1	KAT5
ABL1	ATR
ABL1	MDM4
ABL1	CDKN1A
ABL1	STK4
ABL1	RAD51
ABL1	BTK
ABL1	MDM2
ABL1	TP63
ABL1	STK3
ABL1	YAP1
ABL2	MAPT
ABL2	ITGB1
ABL2	WASL
ABL2	ABL2
ABL2	PDGFRB
ABL2	CAT
ABL2	GPX1
ABL2	PSMA7
ABL2	LGALS3
ABL2	CRK
ABL2	RIN1
ABL2	PTPN11
ABL2	CEBPB
ABL2	SIVA1
DYRK2	MAPT
DYRK2	TP53
DYRK2	CARHSP1
DYRK2	EIF4EBP1
DYRK2	CRMP1
DYRK2	DPYSL3
DYRK2	DCX
DYRK2	DPYSL2
DYRK2	H3F3A
DYRK2	GLI2
DYRK2	KATNA1
DYRK2	SIAH2
MAPK12	MAPT
MAPK12	DLG1
MAPK12	PTPN3
MAPK12	CCND3
MAPK12	HTRA2
MAPK12	MAPK12
MAPK13	MAPT
MAPK13	PRKD1
MAPK13	STMN1
MAPK13	EEF2K
MAPK13	CCND3
MARK1	MAPT
MARK1	DCX
TTBK1	MAPT
CAMK2A	RRAD
CAMK2A	TRPC6
CAMK2A	CACNA1C
CAMK2A	RYR2
CAMK2A	HRH1
CAMK2A	SRF
CAMK2A	MAPT
CAMK2A	ADCY3
CAMK2A	CLCN3
CAMK2A	FBXO43
CAMK2A	KIF17
CAMK2A	SPR
CAMK2A	SLN
CAMK2A	SLC6A3
CAMK2A	MCU
CAMK2A	GABBR1
CAMK2A	GLO1
CAMK2A	NR1H2
CAMK2A	NLGN1
CAMK2A	ITGB1BP1
CAMK2A	RCHY1
CAMK2A	GJC1
CAMK2A	DLGAP1
CAMK2A	KIF3A
CAMK2A	ALOX5
CAMK2A	KCNJ11
CAMK2A	CD44
CAMK2A	PLCB3
CAMK2A	GRIA1
CAMK2A	GFPT1
CAMK2A	ITPKA
CAMK2A	PDC
CAMK2A	PLN
CAMK2A	TPH2
CAMK2A	WEE2
CAMK2A	CAMK2A
CAMK2A	IL6ST
CAMK2A	HDAC5
CAMK2A	TCAP
CAMK2A	MYBPC3
CAMK2A	PPP1R14A
CAMK2A	CREM
CAMK2A	VIM
CAMK2A	PTPRA
CAMK2A	CHAT
CAMK2A	OPRM1
CAMK2A	ITGB1
CAMK2A	GRIN2B
CAMK2A	PTK2
CAMK2A	CARD11
CAMK2A	CDKN1B
CAMK2A	STMN1
CAMK2A	HSF1
CAMK2A	SNCA
CAMK2A	ABI1
CAMK2A	NOX5
CAMK2A	ESPL1
CAMK2A	NEFL
CAMK2A	ETS2
CAMK2A	ETS1
CAMK2A	TH
